Source2	Isolate no	Original code	Mating type3,6 (MAT)	Country / County4	Location code	Sample collected by/date5	Other							
#H. pseudoalbidus England
Recent planting	HP01	D-1		E / Leicestershire	BPR	DR, May 2012	+  5 additional isolates
Recent planting	HP02	B-2-A	MAT1-2	E / Leicestershire	BPR	SH and GH, 10/07/2012	+  3 additional isolates
Recent planting	HP03	B-4	MAT1-1	E / Leicestershire	BPR	SH and GH, 10/07/2012	
Recent planting	HP04	B-5		E / Leicestershire	BPR	SH and GH, 10/07/2012	
Recent planting	HP05	B-7	MAT1-2	E / Leicestershire	BPR	SH and GH, 10/07/2012	
Recent planting	HP06	B-9-A	MAT1-1	E / Leicestershire	BPR	SH and GH, 10/07/2012	+ 1 additional isolate
Recent planting	HP07	B-13	MAT1-1	E / Leicestershire	BPR	SH and GH, 10/07/2012	
Recent planting	HP08	B-17-A	MAT1-1	E / Leicestershire	BPR	SH and GH, 10/07/2012	+  3 additional isolates
Recent planting	HP09			E / Suffolk	G Mangt. Co. 5	MB, 19/09/12	
Nursery stock	HP10	C-3-A	MAT1-2	E / Lincolnshire	CN1	SH and GH, 12/07/2012	
Nursery stock	HP11	C-3/2-A	MAT1-1	E / Lincolnshire	CN1	SH and GH, 12/07/2012	+ 1 additional isolate
Nursery stock	HP12	C-4-A	MAT1-1	E / Lincolnshire	CN	SH and GH, 12/07/2012	+ additional isolates
Nursery stock	HP13	C-5-A	MAT1-2	E / Lincolnshire	CN	SH and GH, 12/07/2012	+  2 additional isolates
Nursery stock	HP14	C-7-A	MAT1-1	E / Lincolnshire	CN	SH and GH, 12/07/2012	+  4 additional isolates
Nursery stock	HP15	C-9-A	MAT1-1	E / Lincolnshire	CN	SH and GH, 12/07/2012	+  2 additional isolates
Natural spread	HP16		MAT1-2	E / Suffolk	Golden Wood planting	BJ 18/10/12	
Natural spread	HP17			E / Suffolk	Golden Wood planting	BJ 18/10/12	
Natural spread	HP18		MAT1-2	E / Suffolk	Theberton Wood	BW 16/10/12	
Natural spread	HP19		MAT1-2	E / Suffolk	Theberton Wood	BW 16/10/12	
Natural spread	HP20		MAT1-1	E / Suffolk	Peydon Wood	BJ 26/10/12	
Natural spread	HP21		MAT1-2	E / Suffolk	Frithy Wood	BJ 24/10/12	
Natural spread	HP22		MAT1-2	E / Suffolk	Golden Wood	BJ 18/10/12	
Natural spread	HP23		MAT1-1	E / Norfolk	Wayland Wood	BJ 24/10/12	
Natural spread	HP24		MAT1-1	E / Suffolk	Pound Farm	BW 16/10/12	
Natural spread	HP27	PF2		E / Suffolk	Pound Farm	SH 13/12/12	Epicormic mature tree
Natural spread	HP28	AWT3		E / Norfolk	Ashwellthorpe	SH 12/12/12	Coppice
Natural spread	HP25			E / Norfolk	Random hedgerow	BW 17/10/12	
Natural spread	HP26		MAT1-2	E / Norfolk	Holt Country Park	BW 17/10/12	
#H. pseudoalbidus Scotland
Recent planting	HP29	KMT1M		S / Renfrewshire	Knockmountain	SH 29/06/12	
Recent planting	HP30	KMT1B		S / Renfrewshire	Knockmountain	SH 29/06/12	
Recent planting	HP31	KMT2		S / Renfrewshire	Knockmountain	SH 29/06/12	
Recent planting	HP32	FEM1		S / Borders	Foulden, Edrington Mains	SH	
Recent planting	HP33	DEG2		S / Fife	Devilla, East Grange	SH	2012 ascospore infection
Recent planting	HP34	STHL2		S / Perth & Kinross	Struiehill	SH	2012 ascospore infection
Natural spread	HP35	DGC3		S / Borders	Foulden Duns golf course	SH	
Natural spread	HP36	KH1		Fife	Kinghorn	SH	Natural regen
#H. albidus Scotland
Recent planting	HA1	S/DT/2/A/1		S / Renfrewshire	Auchindores Cpt 7	DT  19/9/12 	
