#query	EC	reference GO
comp12916_c0_seq2_FPKM_all:7.898_FPKM_rel:6.027_len:493_path:[1523,896,2353,1068].1	EC:3.2.1.1	GO:0004556
comp12764_c0_seq1_FPKM_all:8.865_FPKM_rel:4.688_len:1071_path:[1417,1339,514].2	EC:1	GO:0016491
comp12374_c0_seq1_FPKM_all:6.624_FPKM_rel:6.624_len:660_path:[1461,2016,1327,539,907].1	EC:3	GO:0016787
comp12060_c0_seq1_FPKM_all:12.051_FPKM_rel:12.051_len:1094_path:[383,1736,517,853,855,2049,956].1	EC:1	GO:0016491
comp2935_c0_seq7_FPKM_all:83.311_FPKM_rel:45.196_len:897_path:[0,116,4569,4582,3143,180,282,803].1	EC:4.1.2.13	GO:0004332
comp2827_c0_seq2_FPKM_all:56.637_FPKM_rel:28.703_len:3020_path:[0,2984,1198].1	EC:1	GO:0016491
comp2049_c0_seq1_FPKM_all:131.123_FPKM_rel:131.123_len:1349_path:[0].1	EC:1	GO:0016491
comp3376_c0_seq1_FPKM_all:53.219_FPKM_rel:53.219_len:3325_path:[0].1	EC:3.6.3	GO:0016820
comp16630_c0_seq2_FPKM_all:6.076_FPKM_rel:5.155_len:371_path:[0,153,179].1	EC:2.7.1	GO:0016773
comp1688_c0_seq1_FPKM_all:133.24_FPKM_rel:133.24_len:1608_path:[0].1	EC:6.3.4.4	GO:0004019
comp605_c0_seq1_FPKM_all:129.507_FPKM_rel:129.507_len:2176_path:[0,1053,1097,2200].1	EC:1	GO:0016491
comp1180_c0_seq2_FPKM_all:155.723_FPKM_rel:155.723_len:665_path:[0,2177,193,1901,630].2	EC:3.2.1	GO:0004553
comp220_c0_seq3_FPKM_all:777.061_FPKM_rel:777.061_len:1183_path:[0,1056,1127].1	EC:3.5	GO:0016810
comp9023_c0_seq8_FPKM_all:13.34_FPKM_rel:7.705_len:594_path:[2360,4547,2529,2866].1	EC:3.2.1.15	GO:0004650
comp8895_c0_seq1_FPKM_all:21.871_FPKM_rel:11.303_len:1115_path:[0,816,820].2	EC:4.2.1.75	GO:0004852
comp8775_c0_seq3_FPKM_all:11.644_FPKM_rel:8.83_len:352_path:[308,345,371,480].1	EC:3	GO:0016787
comp9316_c0_seq2_FPKM_all:18.005_FPKM_rel:9.093_len:755_path:[0,852,64,754,664].1	EC:3.1.26.4	GO:0004523
comp24560_c0_seq2_FPKM_all:2.896_FPKM_rel:1.789_len:401_path:[0,348].1	EC:1.1.1	GO:0016616
comp11740_c0_seq2_FPKM_all:8.116_FPKM_rel:2.759_len:2748_path:[0,3459,2146,2204,3247].1	EC:1.11.1.7	GO:0004601
comp11740_c0_seq2_FPKM_all:8.116_FPKM_rel:2.759_len:2748_path:[0,3459,2146,2204,3247].1	EC:1.6.3	GO:0050664
comp10337_c0_seq3_FPKM_all:11.055_FPKM_rel:10.45_len:621_path:[920,989,1014,1028,1135,1388,1424].1	EC:2.6.1	GO:0008483
comp11454_c0_seq3_FPKM_all:8.405_FPKM_rel:7.281_len:638_path:[466,2305,562,1981,1023,1955,1069].1	EC:3.4.16	GO:0004185
comp10136_c0_seq1_FPKM_all:17.088_FPKM_rel:9.102_len:1531_path:[0,682].2	EC:1	GO:0016491
comp11702_c0_seq5_FPKM_all:4.043_FPKM_rel:4.043_len:397_path:[192,4333,425].1	EC:2.7.7.6	GO:0003899
comp10393_c0_seq3_FPKM_all:4.28_FPKM_rel:3.669_len:391_path:[1036,1125,1427,1272].1	EC:2.1.1	GO:0008168
comp6960_c0_seq1_FPKM_all:26.677_FPKM_rel:26.677_len:3412_path:[0].2	EC:1.14.13.8	GO:0004499
comp6745_c0_seq3_FPKM_all:26.969_FPKM_rel:15.945_len:347_path:[464,634,641].1	EC:1	GO:0016491
comp7435_c0_seq8_FPKM_all:26.009_FPKM_rel:14.431_len:1065_path:[0,332,356,2593,474,2484,839].1	EC:1.14.99.3	GO:0004392
comp7851_c0_seq1_FPKM_all:14.285_FPKM_rel:7.218_len:899_path:[0,1926].1	EC:1	GO:0016491
comp5552_c0_seq3_FPKM_all:23.552_FPKM_rel:20.332_len:509_path:[3198,735,2112,928].1	EC:1.3.99.11	GO:0004152
comp4108_c0_seq4_FPKM_all:41.39_FPKM_rel:23.155_len:590_path:[0,2171,172,479,501,539].1	EC:3.2.1	GO:0004553
comp5593_c0_seq2_FPKM_all:33.566_FPKM_rel:17.137_len:2264_path:[0,2216,1070].1	EC:1	GO:0016491
comp15929_c0_seq1_FPKM_all:8.132_FPKM_rel:6.13_len:546_path:[0,658].1	EC:3	GO:0016787
comp18790_c0_seq2_FPKM_all:4.796_FPKM_rel:2.564_len:413_path:[548,166,544,208].1	EC:1.11.1.7	GO:0004601
comp20901_c0_seq1_FPKM_all:2.562_FPKM_rel:1.478_len:1040_path:[1055,202].1	EC:3.2.1	GO:0004553
comp20408_c0_seq2_FPKM_all:1.824_FPKM_rel:1.318_len:337_path:[0,286].1	EC:3.4.16	GO:0004185
comp13755_c0_seq1_FPKM_all:8.668_FPKM_rel:8.668_len:595_path:[0].1	EC:1.2.1.70	GO:0008883
comp30717_c0_seq1_FPKM_all:2.262_FPKM_rel:2.262_len:302_path:[0].1	EC:1.3	GO:0016627
comp2359_c0_seq5_FPKM_all:46.804_FPKM_rel:46.804_len:648_path:[1322,1406,1452,1860,1872].1	EC:1	GO:0016491
comp2935_c0_seq8_FPKM_all:44.672_FPKM_rel:32.372_len:958_path:[4124,3978,957,987,1579].1	EC:4.1.2.13	GO:0004332
comp3927_c0_seq1_FPKM_all:46.4_FPKM_rel:23.294_len:3107_path:[0,512].2	EC:2.7.1.23	GO:0003951
comp3514_c0_seq1_FPKM_all:76.684_FPKM_rel:76.684_len:1252_path:[0].1	EC:1	GO:0016491
comp3666_c0_seq1_FPKM_all:73.399_FPKM_rel:73.399_len:1503_path:[0].2	EC:1	GO:0016491
comp3221_c0_seq1_FPKM_all:76.022_FPKM_rel:76.022_len:1997_path:[0].1	EC:2.7.7	GO:0016779
comp29506_c0_seq1_FPKM_all:2.646_FPKM_rel:2.646_len:1239_path:[0,134,158].1	EC:2.1.1	GO:0008168
comp28949_c0_seq1_FPKM_all:2.649_FPKM_rel:2.649_len:722_path:[0].1	EC:1.3.1.13	GO:0004665
comp17534_c0_seq1_FPKM_all:4.274_FPKM_rel:4.274_len:855_path:[0].1	EC:1	GO:0016491
comp17973_c0_seq1_FPKM_all:5.78_FPKM_rel:5.78_len:585_path:[0].2	EC:2.6	GO:0016769
comp117_c0_seq1_FPKM_all:522.795_FPKM_rel:522.795_len:3350_path:[0].3	EC:2.1.1	GO:0008168
comp1124_c0_seq1_FPKM_all:70.093_FPKM_rel:70.093_len:3561_path:[0,1695].1	EC:3	GO:0016787
comp45_c0_seq1_FPKM_all:1680.681_FPKM_rel:1680.681_len:1468_path:[0].1	EC:1	GO:0016491
comp1190_c0_seq1_FPKM_all:59.256_FPKM_rel:59.256_len:4271_path:[929,994,1006,1798,1834,5401,2461,3280,3284,3725,3730].3	EC:6.3.3.2	GO:0030272
comp531_c0_seq1_FPKM_all:327.061_FPKM_rel:327.061_len:1941_path:[0].1	EC:2.6	GO:0016769
comp9337_c0_seq1_FPKM_all:14.59_FPKM_rel:14.59_len:2376_path:[0,518].1	EC:3.1	GO:0016788
comp9273_c0_seq2_FPKM_all:12.295_FPKM_rel:12.252_len:4767_path:[0,82,106].1	EC:2.7.7.6	GO:0003899
comp8027_c0_seq1_FPKM_all:21.884_FPKM_rel:21.884_len:373_path:[0].1	EC:1	GO:0016491
comp11930_c0_seq3_FPKM_all:8.212_FPKM_rel:4.156_len:1019_path:[750,837,2463,882,999,1290,1330,1734].1	EC:2.7.7	GO:0016779
comp10809_c0_seq1_FPKM_all:13.26_FPKM_rel:13.26_len:2094_path:[0].1	EC:3.2.1	GO:0004553
comp10337_c0_seq4_FPKM_all:4.394_FPKM_rel:2.392_len:614_path:[0,2935,203,2862,514,541].1	EC:2.6.1	GO:0008483
comp11454_c0_seq4_FPKM_all:9.133_FPKM_rel:6.37_len:445_path:[1803,1335,1380].1	EC:3.4.16	GO:0004185
comp10865_c0_seq1_FPKM_all:11.124_FPKM_rel:6.224_len:1136_path:[0,732,826].1	EC:1	GO:0016491
comp11962_c0_seq3_FPKM_all:6.691_FPKM_rel:2.649_len:490_path:[0,1638,221,1516].2	EC:5.3.1.6	GO:0004751
comp6745_c0_seq4_FPKM_all:16.915_FPKM_rel:13.351_len:527_path:[1006,1581,1167,1246].1	EC:1	GO:0016491
comp7851_c0_seq2_FPKM_all:21.964_FPKM_rel:18.585_len:1880_path:[0,1927].1	EC:1	GO:0016491
comp7228_c0_seq3_FPKM_all:22.522_FPKM_rel:7.736_len:1841_path:[0,1720,2302,2309,2326,2333,1796].2	EC:2.3.1	GO:0016747
comp7190_c0_seq8_FPKM_all:4.434_FPKM_rel:1.498_len:1687_path:[2949,4677,4699,4702,1229].1	EC:2.4.1.119	GO:0004579
comp4108_c0_seq5_FPKM_all:56.584_FPKM_rel:38.13_len:335_path:[654,875,903].1	EC:3.2.1	GO:0004553
comp5325_c0_seq1_FPKM_all:34.903_FPKM_rel:34.903_len:2234_path:[0].1	EC:1.1.1	GO:0016616
comp15851_c0_seq1_FPKM_all:4.597_FPKM_rel:2.558_len:1055_path:[0,956].2	EC:1.14.13.8	GO:0004499
comp19508_c0_seq1_FPKM_all:4.941_FPKM_rel:4.941_len:477_path:[0].1	EC:1	GO:0016491
comp18837_c0_seq1_FPKM_all:4.465_FPKM_rel:4.465_len:1048_path:[0].1	EC:1	GO:0016491
comp20901_c0_seq2_FPKM_all:3.305_FPKM_rel:2.236_len:1054_path:[0,202].1	EC:3.2.1	GO:0004553
comp20863_c0_seq1_FPKM_all:4.524_FPKM_rel:4.524_len:604_path:[0,292,344].1	EC:3.2.1.2	GO:0016161
comp2558_c0_seq3_FPKM_all:81.983_FPKM_rel:22.833_len:3237_path:[0,493,620,806,3357,1094].2	EC:2.6	GO:0016769
comp2414_c0_seq1_FPKM_all:87.72_FPKM_rel:87.275_len:461_path:[2126,2681,2201,2341].1	EC:1.4.3.21	GO:0008131
comp2414_c0_seq1_FPKM_all:87.72_FPKM_rel:87.275_len:461_path:[2126,2681,2201,2341].1	EC:1.4.3.22	GO:0008131
comp2414_c0_seq1_FPKM_all:87.72_FPKM_rel:87.275_len:461_path:[2126,2681,2201,2341].1	EC:1.4.3.4	GO:0008131
comp3232_c0_seq1_FPKM_all:88.826_FPKM_rel:88.826_len:1405_path:[0].1	EC:1	GO:0016491
comp2877_c0_seq1_FPKM_all:42.793_FPKM_rel:9.526_len:3234_path:[0,1439,1446,2559].2	EC:3	GO:0016787
comp2315_c0_seq2_FPKM_all:103.584_FPKM_rel:103.584_len:670_path:[841,1608,1018].1	EC:1	GO:0016491
comp3083_c0_seq3_FPKM_all:93.249_FPKM_rel:93.194_len:1227_path:[926,2372,998,1597,1601].1	EC:6.3.5.4	GO:0004066
comp2168_c0_seq1_FPKM_all:111.835_FPKM_rel:111.835_len:2121_path:[50,2315,195].1	EC:2.7.7	GO:0016779
comp3170_c0_seq1_FPKM_all:87.976_FPKM_rel:55.302_len:323_path:[1056,1100,1152].1	EC:1	GO:0016491
comp3917_c0_seq1_FPKM_all:68.676_FPKM_rel:68.676_len:1302_path:[0].2	EC:1	GO:0016491
comp27305_c0_seq1_FPKM_all:2.738_FPKM_rel:2.738_len:449_path:[0].1	EC:1	GO:0016491
comp26935_c0_seq1_FPKM_all:3.042_FPKM_rel:1.722_len:595_path:[0,676].1	EC:2.1.1	GO:0008168
comp16916_c0_seq1_FPKM_all:6.888_FPKM_rel:4.736_len:1190_path:[0,703].1	EC:3.1.2.15	GO:0004221
comp271_c0_seq1_FPKM_all:421.065_FPKM_rel:212.937_len:2720_path:[0,2661,307].2	EC:1	GO:0016491
comp1201_c0_seq2_FPKM_all:184.032_FPKM_rel:108.469_len:1888_path:[0,1866].1	EC:1	GO:0016491
comp86_c0_seq2_FPKM_all:1477.257_FPKM_rel:1473.211_len:515_path:[1144,1212,1237,1591,1607].1	EC:2.3.3.9	GO:0004474
comp833_c0_seq1_FPKM_all:185.426_FPKM_rel:185.426_len:2249_path:[0].1	EC:3.4.24	GO:0004222
comp679_c0_seq1_FPKM_all:296.491_FPKM_rel:296.491_len:2244_path:[0,142,145].1	EC:5.5.1.4	GO:0004512
comp960_c0_seq1_FPKM_all:127.464_FPKM_rel:123.524_len:1153_path:[982,2230,1107].1	EC:1	GO:0016491
comp8593_c0_seq1_FPKM_all:18.56_FPKM_rel:18.56_len:1658_path:[0].1	EC:2.3.1	GO:0016747
comp24689_c0_seq1_FPKM_all:3.43_FPKM_rel:3.43_len:956_path:[0].1	EC:3	GO:0016787
comp24261_c0_seq1_FPKM_all:3.111_FPKM_rel:2.581_len:516_path:[0,1106,244,305].1	EC:3	GO:0016787
comp10286_c0_seq1_FPKM_all:15.292_FPKM_rel:7.905_len:1253_path:[0,340,364,430,1020,1035].1	EC:3.1.2.15	GO:0004221
comp10024_c0_seq1_FPKM_all:13.172_FPKM_rel:13.172_len:1032_path:[0].1	EC:2.1.1	GO:0008168
comp6013_c0_seq2_FPKM_all:11.646_FPKM_rel:9.63_len:305_path:[823,3455,1034].1	EC:2.6	GO:0016769
comp7169_c0_seq2_FPKM_all:28.202_FPKM_rel:14.192_len:2628_path:[0,2579,2381].1	EC:1.14.13.8	GO:0004499
comp7071_c0_seq2_FPKM_all:29.898_FPKM_rel:15.275_len:2303_path:[0,777,784,1158].1	EC:1	GO:0016491
comp5358_c0_seq5_FPKM_all:42.968_FPKM_rel:40.592_len:2573_path:[1354,1545,1555,5983,2032,5863,3169,3468,3487,3726,3754].1	EC:1	GO:0016491
comp4642_c0_seq3_FPKM_all:32.791_FPKM_rel:32.655_len:501_path:[1658,463,504,514].1	EC:5.3.1.1	GO:0004807
comp15653_c0_seq2_FPKM_all:3.038_FPKM_rel:2.41_len:326_path:[0,164,186].1	EC:3.4.16	GO:0004185
comp19228_c0_seq1_FPKM_all:3.699_FPKM_rel:2.023_len:591_path:[0,529].2	EC:4.2.1.24	GO:0004655
comp20604_c0_seq1_FPKM_all:4.324_FPKM_rel:4.324_len:1406_path:[0].1	EC:2.3.1.84	GO:0004026
comp21963_c0_seq1_FPKM_all:3.021_FPKM_rel:3.021_len:554_path:[0].1	EC:3.6.3	GO:0016820
comp13702_c0_seq1_FPKM_all:6.22_FPKM_rel:6.22_len:1587_path:[0].1	EC:1.1.1	GO:0016616
comp13913_c0_seq1_FPKM_all:5.424_FPKM_rel:5.424_len:2248_path:[0].2	EC:1	GO:0016491
comp12848_c0_seq2_FPKM_all:8.753_FPKM_rel:4.503_len:1077_path:[233,384,387,1249].1	EC:3.1	GO:0016788
comp13146_c0_seq3_FPKM_all:5.711_FPKM_rel:5.263_len:610_path:[338,1718,379,1550,835].1	EC:3	GO:0016787
comp31469_c0_seq1_FPKM_all:2.404_FPKM_rel:2.404_len:341_path:[0].1	EC:1.2.1.70	GO:0008883
comp2479_c0_seq1_FPKM_all:96.883_FPKM_rel:96.883_len:1714_path:[0].2	EC:3.2.1	GO:0004553
comp3939_c0_seq1_FPKM_all:57.384_FPKM_rel:57.384_len:2154_path:[0].1	EC:6.1.1.19	GO:0004814
comp26412_c0_seq2_FPKM_all:2.249_FPKM_rel:1.255_len:653_path:[115,826,181,192,640].1	EC:2.1.1	GO:0008168
comp26717_c0_seq1_FPKM_all:2.876_FPKM_rel:2.876_len:582_path:[0,98,112].1	EC:2.7.1.107	GO:0004143
comp28658_c0_seq1_FPKM_all:2.849_FPKM_rel:2.849_len:935_path:[0].1	EC:1	GO:0016491
comp29832_c0_seq1_FPKM_all:2.485_FPKM_rel:2.485_len:426_path:[0].1	EC:3.1.3.16	GO:0004721
comp28714_c0_seq1_FPKM_all:2.933_FPKM_rel:2.933_len:559_path:[0].1	EC:3.4.24	GO:0004222
comp29244_c0_seq1_FPKM_all:2.627_FPKM_rel:2.627_len:338_path:[0].1	EC:3.1.3.2	GO:0003993
comp23201_c0_seq1_FPKM_all:3.712_FPKM_rel:3.712_len:506_path:[0].1	EC:1	GO:0016491
comp992_c0_seq1_FPKM_all:116.644_FPKM_rel:116.644_len:3562_path:[0].2	EC:1.15.1.1	GO:0004784
comp815_c0_seq1_FPKM_all:324.341_FPKM_rel:324.341_len:1636_path:[0].1	EC:3.2.1	GO:0004553
comp1821_c0_seq1_FPKM_all:113.621_FPKM_rel:113.621_len:3710_path:[0].1	EC:1.1	GO:0016614
comp8809_c0_seq1_FPKM_all:21.755_FPKM_rel:21.755_len:1672_path:[0].1	EC:2.6.1	GO:0008483
comp8946_c0_seq1_FPKM_all:19.123_FPKM_rel:19.123_len:1411_path:[0].1	EC:1	GO:0016491
comp9529_c0_seq3_FPKM_all:9.635_FPKM_rel:8.775_len:397_path:[245,353,384,2763].1	EC:2.6	GO:0016769
comp8582_c0_seq8_FPKM_all:15.203_FPKM_rel:11.038_len:328_path:[223,5422,378].1	EC:1	GO:0016491
comp9962_c0_seq3_FPKM_all:6.252_FPKM_rel:1.652_len:3431_path:[0,2136,2950,3664].1	EC:3.1.26.3	GO:0004525
comp8059_c0_seq3_FPKM_all:24.882_FPKM_rel:24.882_len:512_path:[519,2104,663,2029,993].1	EC:3	GO:0016787
comp25702_c0_seq1_FPKM_all:3.611_FPKM_rel:3.611_len:454_path:[0].1	EC:3.4.21	GO:0004252
comp35002_c0_seq1_FPKM_all:2.065_FPKM_rel:2.065_len:397_path:[0].1	EC:1	GO:0016491
comp11603_c0_seq1_FPKM_all:10.731_FPKM_rel:5.484_len:1445_path:[0,168,210].2	EC:2.1.1	GO:0008168
comp6860_c0_seq2_FPKM_all:23.066_FPKM_rel:21.218_len:499_path:[1019,1518,1133].1	EC:3	GO:0016787
comp6892_c0_seq1_FPKM_all:30.119_FPKM_rel:11.734_len:457_path:[0,500,558].1	EC:3	GO:0016787
comp4362_c0_seq3_FPKM_all:67.938_FPKM_rel:58.96_len:738_path:[239,1374,429,438].1	EC:3.4.16	GO:0004185
comp5002_c0_seq5_FPKM_all:42.373_FPKM_rel:26.47_len:320_path:[944,1003,1013,1642,1061].1	EC:1	GO:0016491
comp4236_c0_seq1_FPKM_all:55.357_FPKM_rel:55.357_len:1606_path:[0].2	EC:4.1.99.12	GO:0008686
comp14378_c0_seq1_FPKM_all:7.052_FPKM_rel:7.052_len:557_path:[0].2	EC:3.6.3	GO:0016820
comp14156_c0_seq1_FPKM_all:7.515_FPKM_rel:7.515_len:909_path:[0,417,541].1	EC:2.3.1.97	GO:0004379
comp18522_c1_seq1_FPKM_all:3.57_FPKM_rel:3.57_len:1521_path:[257,2439,432,2379,708,734].1	EC:2.4.1	GO:0016758
comp19422_c0_seq2_FPKM_all:4.637_FPKM_rel:2.493_len:1370_path:[0,1688].1	EC:2.4.1	GO:0016758
comp19955_c0_seq1_FPKM_all:3.997_FPKM_rel:3.997_len:940_path:[0].1	EC:5.3.3.5	GO:0047750
comp21726_c0_seq1_FPKM_all:3.795_FPKM_rel:3.795_len:900_path:[0].1	EC:1	GO:0016491
comp20797_c0_seq1_FPKM_all:3.398_FPKM_rel:1.936_len:794_path:[0,843,104].2	EC:4.2.1.1	GO:0004089
comp20507_c0_seq1_FPKM_all:4.233_FPKM_rel:4.233_len:823_path:[0].1	EC:4.3.3.2	GO:0016844
comp13516_c0_seq3_FPKM_all:5.619_FPKM_rel:5.619_len:468_path:[1528,2081,1603,1866,1880].1	EC:6.3.5	GO:0016884
comp12848_c0_seq3_FPKM_all:9.211_FPKM_rel:4.706_len:1016_path:[233,384,387,1178].1	EC:3.1	GO:0016788
comp12714_c0_seq1_FPKM_all:7.471_FPKM_rel:3.782_len:1815_path:[0,1795,468].2	EC:6.3.1.2	GO:0004356
comp12124_c0_seq1_FPKM_all:9.724_FPKM_rel:5_len:1851_path:[0,446].1	EC:2.4.2	GO:0016763
comp3603_c0_seq1_FPKM_all:73.107_FPKM_rel:73.107_len:1566_path:[0].1	EC:1.3	GO:0016627
comp3524_c0_seq1_FPKM_all:78.576_FPKM_rel:71.116_len:815_path:[0,653].1	EC:1	GO:0016491
comp74_c0_seq1_FPKM_all:1552.6_FPKM_rel:1552.6_len:1778_path:[0].1	EC:1	GO:0016491
comp560_c0_seq1_FPKM_all:389.343_FPKM_rel:389.343_len:1234_path:[0].1	EC:3	GO:0016787
comp1629_c0_seq1_FPKM_all:103.847_FPKM_rel:103.847_len:1802_path:[0].2	EC:1.13.11.6	GO:0000334
comp1544_c0_seq3_FPKM_all:95.882_FPKM_rel:24.72_len:5148_path:[0,5173,459,4843].1	EC:2.7.1.50	GO:0004417
comp1737_c0_seq1_FPKM_all:83.041_FPKM_rel:74.885_len:670_path:[0,2994,151,2940,503].1	EC:3.1.2.22	GO:0008474
comp1742_c0_seq1_FPKM_all:80.526_FPKM_rel:41.083_len:3500_path:[0,838].3	EC:1.13.11.32	GO:0018580
comp569_c0_seq1_FPKM_all:249.963_FPKM_rel:249.963_len:2429_path:[0].1	EC:1	GO:0016491
comp9529_c0_seq4_FPKM_all:6.263_FPKM_rel:6.263_len:409_path:[2949,3013,1105].1	EC:2.6	GO:0016769
comp9491_c0_seq1_FPKM_all:17.908_FPKM_rel:17.908_len:1131_path:[0,71,784,797].1	EC:1	GO:0016491
comp9747_c0_seq1_FPKM_all:13.143_FPKM_rel:6.661_len:764_path:[0,2079].1	EC:2.4.1	GO:0016758
comp8059_c0_seq4_FPKM_all:20.826_FPKM_rel:16.846_len:369_path:[1076,1241,1251].1	EC:3	GO:0016787
comp10293_c0_seq1_FPKM_all:9.478_FPKM_rel:9.478_len:2609_path:[0].1	EC:4.2.1.79	GO:0047547
comp11603_c0_seq2_FPKM_all:11.734_FPKM_rel:6.329_len:1403_path:[0,210].1	EC:2.1.1	GO:0008168
comp6860_c0_seq3_FPKM_all:18.345_FPKM_rel:8.957_len:633_path:[468,2075,648,667,1003,1019].1	EC:3	GO:0016787
comp7091_c0_seq3_FPKM_all:28.462_FPKM_rel:28.462_len:996_path:[0,2472,602,2322,897,950].2	EC:1.2.4	GO:0016624
comp5640_c0_seq1_FPKM_all:28.9_FPKM_rel:28.9_len:533_path:[0,122,129].2	EC:1.9.3.1	GO:0004129
comp20797_c0_seq2_FPKM_all:3.609_FPKM_rel:2.148_len:795_path:[0,83,104].1	EC:4.2.1.1	GO:0004089
comp20592_c0_seq1_FPKM_all:4.047_FPKM_rel:4.047_len:1477_path:[0].1	EC:2.6.1	GO:0008483
comp13619_c0_seq1_FPKM_all:3.744_FPKM_rel:1.987_len:739_path:[876,1589].1	EC:3.4.16	GO:0004185
comp12193_c0_seq1_FPKM_all:12.473_FPKM_rel:12.473_len:638_path:[0].1	EC:6.3.5	GO:0016884
comp12124_c0_seq2_FPKM_all:9.398_FPKM_rel:4.815_len:1908_path:[0,1850,446].1	EC:2.4.2	GO:0016763
comp30879_c0_seq1_FPKM_all:2.44_FPKM_rel:2.44_len:392_path:[0].1	EC:3.2.1	GO:0004553
comp28083_c0_seq1_FPKM_all:2.256_FPKM_rel:2.256_len:969_path:[0].1	EC:1.1	GO:0016614
comp22203_c0_seq1_FPKM_all:3.691_FPKM_rel:2.608_len:694_path:[0,547].1	EC:6.3.2.1	GO:0004592
comp1425_c0_seq1_FPKM_all:166.418_FPKM_rel:166.418_len:1216_path:[0,1298,61,1263,560].1	EC:1	GO:0016491
comp1781_c0_seq1_FPKM_all:113.136_FPKM_rel:113.136_len:1792_path:[0,411,437,1792,464].2	EC:2.4.1	GO:0016758
comp1512_c0_seq1_FPKM_all:133.89_FPKM_rel:133.89_len:764_path:[0,185,194].1	EC:1	GO:0016491
comp1737_c0_seq2_FPKM_all:81.924_FPKM_rel:79.44_len:2200_path:[503,670,677,2703,1951].1	EC:3.1.2.22	GO:0008474
