#Query	Hit	E-value	Identity	Score	Query-start	Query-end	Hit-start	Hit-end	Hit-length	description	class	class description
comp12367_c0_seq1_FPKM_all:9.37_FPKM_rel:5.743_len:452_path:[16	PRK01611	1e-33	38	137	3	119	387	502	507	arginyl-tRNA synthetase	J	Translation, ribosomal structure and biogenesis
comp12276_c0_seq1_FPKM_all:2.212_FPKM_rel:2.212_len:386_path:[6	PRK10733	7e-22	69	97.4	66	128	149	211	644	ATP-dependent metalloprotease	O	Posttranslational modification, protein turnover, chaperones
comp12669_c0_seq2_FPKM_all:4.926_FPKM_rel:3.722_len:312_path:[7	PRK09601	1e-19	44	89.7	1	92	122	212	364	GTP-binding protein YchF	J	Translation, ribosomal structure and biogenesis
comp13631_c0_seq1_FPKM_all:6.049_FPKM_rel:2.978_len:367_path:[1	PRK14951	3e-04	24	38.5	38	116	413	493	618	DNA polymerase III subunits gamma and tau	L	Replication, recombination and repair
comp13113_c0_seq1_FPKM_all:8.773_FPKM_rel:8.773_len:1966_path:[	PRK02106	2e-55	29	211	25	462	5	414	560	choline dehydrogenase	E	Amino acid transport and metabolism
comp13077_c0_seq4_FPKM_all:5.546_FPKM_rel:3.503_len:468_path:[1	PRK05557	1e-63	63	237	1	155	35	189	248	3-ketoacyl-(acyl-carrier-protein) reductase	X	Multifunctional
comp13543_c0_seq1_FPKM_all:8.86_FPKM_rel:4.462_len:1064_path:[0	PRK10733	1e-05	28	45.8	109	222	186	307	644	ATP-dependent metalloprotease	O	Posttranslational modification, protein turnover, chaperones
comp31864_c0_seq1_FPKM_all:2.446_FPKM_rel:2.446_len:377_path:[0	PRK15370	7e-04	27	37.4	29	122	242	352	754	E3 ubiquitin-protein ligase SlrP	S	Function unknown
comp30147_c0_seq1_FPKM_all:1.332_FPKM_rel:1.332_len:359_path:[2	PRK04195	8e-04	24	37.2	38	110	390	471	482	replication factor C large subunit	L	Replication, recombination and repair
comp3082_c0_seq1_FPKM_all:63.616_FPKM_rel:63.616_len:2307_path:	PRK09874	3e-04	32	41.8	86	232	54	195	408	drug efflux system protein MdtG	G	Carbohydrate transport and metabolism
comp2826_c0_seq1_FPKM_all:72.746_FPKM_rel:72.746_len:1447_path:	PRK13317	4e-20	26	94.6	168	389	5	185	277	pantothenate kinase	X	Multifunctional
